distance [m],Energy [eV]
0.0591,1790126.0111649565
0.0592,1771307.4510363683
0.0593,1752370.6821815807
0.0594,1733313.2866926754
0.0595,1714132.7637449985
0.0596,1694826.525669159
0.0597,1675391.8938037045
0.0598,1655826.0940928783
0.0599,1636126.2524311203
0.06,1616289.3897187174
0.0601,1596312.4166302648
0.0602,1576192.1280603418
0.0603,1555925.1972315116
0.0604,1535508.1694439508
0.0605,1514937.45544436
0.0606,1494209.3243893322
0.0607,1473319.896371722
0.0608,1452265.1345067094
0.0609,1431040.836522932
0.061,1409642.6258578566
0.0611,1388065.942223462
0.0612,1366306.0316256718
0.0613,1344357.935807751
0.0614,1322216.4811226244
0.0615,1299876.266810948
0.0616,1277331.6527006568
0.0617,1254576.7463354385
0.0618,1231605.3895809613
0.0619,1208411.1447643125
0.062,1184987.2804434795
0.0621,1161326.7569641247
0.0622,1137422.212005603
0.0623,1113265.9464141713
0.0624,1088849.9107372123
0.0625,1064165.69302541
0.0626,1039204.5086783795
0.0627,1013957.1933815489
0.0628,988414.200579361
0.0629,962565.6054223094
0.063,936401.1178362735
0.0631,909910.1083226787
0.0632,883081.651400729
0.0633,855904.5934419765
0.0634,828367.6541685032
0.0635,800459.5746291346
0.0636,772169.3294952158
0.0637,743486.4285872245
0.0638,714401.3426895831
0.0639,684906.1033231001
0.064,654995.1472096775
0.0641,624666.5068819429
0.0642,593923.4936130687
0.0643,562777.084076973
0.0644,531249.3166611358
0.0645,499378.1380393312
0.0646,467224.32604284555
0.0647,434881.35123242374
0.0648,402489.2894034737
0.0649,370254.0127250495
0.065,338472.44469066197
0.0651,307562.64236763713
0.0652,278091.85030667833
0.0653,250783.81272877427
0.0654,226469.4201756398
0.0655,205938.66370976853
0.0656,189697.2146999501
0.0657,177742.94732476494
0.0658,169541.45795436908
0.0659,164242.73324418688
0.066,160971.81088810356
0.0661,159014.95797286293
0.0662,157867.55244301376
0.0663,157202.99179401278
0.0664,156820.88962517033
0.0665,156602.1270868882
0.0666,156477.18828760026
0.0667,156405.93447006703
0.0668,156365.33054269204
0.0669,156342.20309755777
0.067,156329.03348190727
0.0671,156321.53534231897
0.0672,156317.26663096732
0.0673,156314.83655915747
0.0674,156313.4532184354
0.0675,156312.66575029402
0.0676,156312.21748810768
0.0677,156311.962318691
0.0678,156311.8170654281
0.0679,156311.73438126082
0.068,156311.6873147741
0.0681,156311.66052226673
0.0682,156311.6452704341
0.0683,156311.63658927107
0.0684,156311.63164740583
0.0685,156311.62883424223
0.0686,156311.62723275015
0.0687,156311.62632151356
0.0688,156311.62580258047
0.0689,156311.6255071114
0.069,156311.62533909956
0.0691,156311.62524309283
0.0692,156311.62518846826
0.0693,156311.6251578454
0.0694,156311.62514046486
0.0695,156311.6251297055
0.0696,156311.62512473963
0.0697,156311.62512142907
0.0698,156311.62511894613
0.0699,156311.62511811848
0.07,156311.62511729082
inf,0.0
